MMTS (100 broadcast interval)
Tick,Average error
158,837.2502542127033
159,837.2502759441804
160,837.2502976756576
161,837.2503194071345
162,837.2503411386117
163,837.2503628700885
164,837.2503846015658
165,837.2504063330425
166,837.2504280645198
167,837.2504497959969
168,837.2504715274741
169,837.2504932589512
170,837.2505149904281
171,837.2505367219052
172,837.2505584533822
173,837.2505801848595
174,837.2506019163363
175,837.2506236478133
176,837.2506453792904
177,837.2506671107678
178,837.2506888422448
179,837.2507105737219
180,837.2507323051991
181,837.2507540366761
182,837.250775768153
183,837.25079749963
184,837.2508192311071
185,837.2508409625842
186,837.2508626940612
187,837.2508844255386
188,837.2509061570158
189,837.2509278884927
190,837.2509496199699
191,837.2509713514469
192,837.2509930829239
193,837.2510148144008
194,837.251036545878
195,837.2510582773549
196,837.2510800088319
197,837.2511017403091
198,837.2511234717863
199,837.2511452032635
200,837.2511669347406
201,837.2511886662177
202,837.2512103976946
203,837.2512321291715
204,837.2512538606486
205,468.588348805945
206,468.58835193005456
207,398.9756816399061
208,398.9756816399061
209,398.9756816399061
210,398.9756816399061
211,398.97568163990604
212,398.9756816399061
213,398.975681639906
214,398.97568163990616
215,398.97568163990604
216,398.97568163990604
217,398.9756816399061
218,398.97568163990604
219,398.97568163990616
220,398.97568163990604
221,398.97568163990616
222,398.975681639906
223,398.9756816399061
224,398.97568163990616
225,398.9756816399061
226,398.97568163990604
227,398.9756816399061
228,398.9756816399061
229,398.97568163990604
230,398.9756816399061
231,398.97568163990604
232,398.97568163990604
233,398.97568163990604
234,398.97568163990604
235,398.9756816399061
236,398.9756816399061
237,398.97568163990604
238,398.9756816399061
239,398.97568163990604
240,398.9756816399061
241,398.9756816399061
242,398.97568163990616
243,398.97568163990604
244,398.9756816399061
245,398.97568163990616
246,398.97568163990604
247,398.97568163990616
248,398.97568163990604
249,398.9756816399061
250,398.9756816399061
251,398.9756816399061
252,398.97568163990604
253,398.9756816399061
254,398.97568163990616
255,398.9756816399061
256,398.97568163990616
257,398.9756816399061
258,398.9756816399061
259,398.97568163990604
260,398.9756816399061
261,398.975681639906
262,398.975681639906
263,398.97568163990604
264,398.97568163990604
265,398.9756816399061
266,398.9756816399061
