MMTS (100 broadcast interval)
Tick,Average error
518,357.7791562239607
519,357.7791562239606
520,357.7791562239607
521,357.7791562239606
522,357.7791562239606
523,357.7791562239607
524,357.7791562239607
525,357.7791562239607
526,357.77915622396074
527,357.7791562239607
528,357.7791562239608
529,357.77915622396074
530,357.77915622396074
531,357.77915622396074
532,357.77915622396074
533,357.7791562239607
534,357.77915622396074
535,357.7791562239607
536,357.7791562239607
537,357.7791562239607
538,357.7791562239608
539,357.7791562239606
540,357.7791562239608
541,357.7791562239608
542,357.7791562239607
543,357.7791562239607
544,357.7791562239608
545,357.7791562239608
546,357.77915622396074
547,357.7791562239608
548,357.7791562239607
549,357.7791562239609
550,357.7791562239607
551,357.7791562239607
552,357.7791562239606
553,357.7791562239608
554,357.7791562239607
555,357.77915622396074
556,357.7791562239609
557,357.7791562239609
558,357.77915622396097
559,357.7791562239608
560,357.7791562239608
561,357.7791562239608
562,357.7791562239609
563,357.7791562239608
564,357.7791562239609
565,357.7791562239609
566,357.7791562239609
567,357.7791562239608
568,357.7791562239608
569,357.77915622396074
570,357.7791562239611
571,357.779156223961
572,357.77915622396097
573,357.77915622396097
574,357.77915622396097
575,357.77915622396097
576,357.779156223961
577,357.77915622396097
578,357.77915622396097
579,357.7791562239608
580,357.7791562239609
581,357.77915622396097
582,357.7791562239609
583,357.77915622396097
584,357.7791562239609
585,357.7791562239608
586,357.7791562239608
587,357.7791562239609
588,357.7791562239608
589,357.7791562239608
590,357.7791562239608
591,357.7791562239608
592,357.7791562239608
593,357.7791562239608
594,357.7791562239608
595,357.7791562239609
596,357.7791562239608
597,357.7791562239609
598,357.7791562239609
599,357.7791562239609
600,357.7791562239609
601,357.7791562239609
602,357.7791562239609
603,357.7791562239608
604,357.7791562239609
605,263.3880320790516
606,263.38803207905164
607,263.38803207905175
608,263.38803207905187
609,263.38803207905175
610,263.38803207905175
611,206.6533353127198
612,206.65333531272
613,206.65333531272
614,206.65333531272
615,206.65333531272
616,206.65333531272
617,206.65333531271995
618,206.65333531271986
619,206.65333531271995
620,206.65333531271995
621,206.65333531271986
622,206.65333531271986
623,206.6533353127198
624,206.65333531271997
625,206.65333531272
626,206.65333531271986
627,206.65333531271986
628,206.6533353127199
629,206.65333531271975
630,206.65333531271986
631,206.6533353127198
632,206.6533353127197
633,206.65333531271972
634,206.6533353127198
635,206.6533353127196
636,206.65333531271972
637,206.65333531271972
638,206.6533353127198
639,206.65333531271963
640,206.6533353127198
641,206.6533353127198
642,206.65333531271963
643,206.65333531271972
644,206.6533353127197
645,206.6533353127197
646,206.6533353127196
647,206.6533353127197
648,206.6533353127196
649,206.6533353127198
650,206.6533353127196
651,206.65333531271972
652,206.6533353127196
653,206.65333531271972
654,206.65333531271958
655,206.65333531271963
656,206.65333531271972
657,206.6533353127201
658,206.6533353127198
659,206.65333531271963
660,206.65333531271963
661,206.65333531271986
662,206.65333531271986
663,206.65333531271995
664,206.6533353127198
665,206.65333531271986
666,206.65333531271963
667,206.6533353127198
668,206.6533353127198
669,206.6533353127198
670,206.65333531271975
671,206.65333531271972
672,206.65333531271995
673,206.65333531271972
674,206.65333531271986
675,206.6533353127198
676,206.65333531271986
677,206.65333531271972
678,206.65333531271986
679,206.65333531271972
680,206.65333531271975
681,206.65333531272
682,206.65333531272
683,206.65333531272
684,206.6533353127203
685,206.65333531272
686,206.6533353127202
687,206.65333531272023
688,206.6533353127202
689,206.65333531272012
690,206.65333531272023
691,206.65333531272012
692,206.6533353127201
693,206.6533353127201
694,206.6533353127202
695,206.6533353127201
696,206.6533353127201
